Name,Time-SOFAI-LPG_2,Corr-SOFAI-LPG_2,Opt-SOFAI-LPG_2,Sys-SOFAI-LPG_2,Planner-SOFAI-LPG_2
briefcase-o15__0,627.2735595703125,1.0,27.27272727272727,2,2
briefcase-o15__1,801.6149997711182,1.0,20.0,2,2
briefcase-o15__10,856.3907146453857,1.0,18.91891891891892,2,2
briefcase-o15__11,1019.5493698120116,1.0,15.909090909090908,2,2
briefcase-o15__12,2692.8632259368896,1.0,20.930232558139537,2,2
briefcase-o15__13,791.3155555725098,1.0,14.285714285714285,2,2
briefcase-o15__14,802.3691177368164,1.0,16.666666666666664,2,2
briefcase-o15__2,793.2605743408203,1.0,26.190476190476197,2,2
briefcase-o15__3,846.1592197418213,1.0,15.909090909090908,2,2
briefcase-o15__4,844.1524505615234,1.0,13.513513513513514,2,2
briefcase-o15__5,847.0444679260254,1.0,24.390243902439025,2,2
briefcase-o15__6,2698.20499420166,1.0,17.94871794871795,2,2
briefcase-o15__7,859.5588207244873,1.0,17.77777777777778,2,2
briefcase-o15__8,2674.2167472839355,1.0,15.0,2,2
briefcase-o15__9,755.359411239624,1.0,20.454545454545457,2,2
briefcase-o16__0,1037.1994972229004,1.0,18.6046511627907,2,2
briefcase-o16__1,1262.406349182129,1.0,11.11111111111111,2,2
briefcase-o16__10,1056.4906597137451,1.0,20.454545454545457,2,2
briefcase-o16__11,1123.8465309143066,1.0,19.565217391304348,2,2
briefcase-o16__12,1031.919002532959,1.0,18.367346938775512,2,2
briefcase-o16__13,864.9013042449951,1.0,17.77777777777778,2,2
briefcase-o16__14,828.6874294281006,1.0,21.428571428571427,2,2
briefcase-o16__2,1051.3663291931152,1.0,17.391304347826086,2,2
briefcase-o16__3,553.2009601593018,1.0,29.166666666666668,2,2
briefcase-o16__4,2629.688262939453,1.0,23.404255319148938,2,2
briefcase-o16__5,1042.6959991455078,1.0,20.40816326530612,2,2
briefcase-o16__6,850.8505821228027,1.0,20.0,2,2
briefcase-o16__7,1013.0617618560792,1.0,15.789473684210526,2,2
briefcase-o16__8,1148.6148834228516,1.0,12.244897959183673,2,2
briefcase-o16__9,808.2413673400879,1.0,13.043478260869565,2,2
briefcase-o17__0,1129.927158355713,1.0,24.489795918367346,2,2
briefcase-o17__1,914.6912097930908,1.0,16.0,2,2
briefcase-o17__10,845.426082611084,1.0,14.285714285714285,2,2
briefcase-o17__11,828.1381130218506,1.0,27.27272727272727,2,2
briefcase-o17__12,830.5628299713135,1.0,22.448979591836736,2,2
briefcase-o17__13,827.1090984344482,1.0,19.148936170212767,2,2
briefcase-o17__14,1341.2141799926758,1.0,18.75,2,2
briefcase-o17__15,1265.6099796295166,1.0,21.568627450980397,2,2
briefcase-o17__16,820.5676078796387,1.0,22.727272727272727,2,2
briefcase-o17__17,877.1941661834717,1.0,22.0,2,2
briefcase-o17__18,1239.9568557739258,1.0,15.217391304347828,2,2
briefcase-o17__19,837.291955947876,1.0,18.75,2,2
briefcase-o17__2,1136.1136436462402,1.0,18.367346938775512,2,2
briefcase-o17__20,887.2013092041016,1.0,20.833333333333336,2,2
briefcase-o17__21,993.727684020996,1.0,14.285714285714285,2,2
briefcase-o17__22,905.8077335357666,1.0,20.0,2,2
briefcase-o17__23,786.7074012756348,1.0,19.607843137254903,2,2
briefcase-o17__24,1334.883451461792,1.0,18.75,2,2
briefcase-o17__25,1163.951396942139,1.0,14.285714285714285,2,2
briefcase-o17__26,998.626947402954,1.0,12.244897959183673,2,2
briefcase-o17__27,1105.165719985962,1.0,11.627906976744184,2,2
briefcase-o17__28,1049.7570037841797,1.0,23.52941176470588,2,2
briefcase-o17__29,801.0473251342773,1.0,20.0,2,2
briefcase-o17__3,1061.5565776824951,1.0,18.0,2,2
briefcase-o17__30,1052.9322624206543,1.0,22.916666666666664,2,2
briefcase-o17__31,1071.5203285217283,1.0,22.916666666666664,2,2
briefcase-o17__32,787.8024578094482,1.0,22.0,2,2
briefcase-o17__33,890.9749984741211,1.0,22.448979591836736,2,2
briefcase-o17__34,871.3395595550537,1.0,22.448979591836736,2,2
briefcase-o17__35,825.4806995391846,1.0,21.568627450980397,2,2
briefcase-o17__36,874.286413192749,1.0,18.75,2,2
briefcase-o17__4,530.5845737457275,1.0,26.53061224489796,2,2
briefcase-o17__5,1043.2724952697754,1.0,13.725490196078432,2,2
briefcase-o17__6,824.7883319854736,1.0,17.391304347826086,2,2
briefcase-o17__7,891.6513919830322,1.0,24.489795918367346,2,2
briefcase-o17__8,1013.5443210601808,1.0,11.538461538461538,2,2
briefcase-o17__9,745.9475994110107,1.0,15.217391304347828,2,2
briefcase-o20__0,1241.4772510528564,1.0,24.59016393442623,2,2
briefcase-o20__1,775.2492427825928,1.0,19.230769230769237,2,2
briefcase-o20__2,1005.3098201751708,1.0,23.214285714285715,2,2
briefcase-o20__3,1159.8742008209229,1.0,16.363636363636363,2,2
briefcase-o20__4,815.7515525817871,1.0,-1.0,2,2
briefcase-o20__5,1106.6160202026367,1.0,27.86885245901639,2,2
briefcase-o20__6,1333.609104156494,1.0,18.867924528301888,2,2
briefcase-o20__7,1724.302053451538,1.0,18.33333333333333,2,2
briefcase-o20__8,1050.3783226013184,1.0,23.63636363636364,2,2
briefcase-o20__9,1381.2682628631592,1.0,25.0,2,2
briefcase-o5__0,591.773271560669,1.0,0.0,2,2
briefcase-o5__1,555.0920963287354,1.0,0.0,2,2
briefcase-o5__2,2568.2482719421387,1.0,0.0,2,2
briefcase-o5__3,607.7914237976074,1.0,6.25,2,2
briefcase-o5__4,1984.8334789276123,1.0,0.0,2,2
briefcase-o8__0,600.9020805358887,1.0,8.695652173913043,2,2
briefcase-o8__1,745.0554370880127,1.0,8.695652173913043,2,2
briefcase-o8__10,837.4543190002441,1.0,5.555555555555555,2,2
briefcase-o8__11,752.5742053985596,1.0,5.0,2,2
briefcase-o8__12,549.2122173309326,1.0,3.8461538461538463,2,2
briefcase-o8__13,813.4126663208008,1.0,0.0,2,2
briefcase-o8__14,838.3884429931641,1.0,0.0,2,2
briefcase-o8__15,536.9579792022705,1.0,6.25,2,2
briefcase-o8__16,590.6038284301758,1.0,0.0,2,2
briefcase-o8__17,1049.276351928711,1.0,4.3478260869565215,2,2
briefcase-o8__2,608.4506511688232,1.0,20.0,2,2
briefcase-o8__3,1094.177007675171,1.0,0.0,2,2
briefcase-o8__4,784.127950668335,1.0,4.0,2,2
briefcase-o8__5,844.8309898376465,1.0,4.761904761904762,2,2
briefcase-o8__6,785.4230403900146,1.0,13.636363636363637,2,2
briefcase-o8__7,822.7276802062988,1.0,8.333333333333332,2,2
briefcase-o8__8,834.7644805908203,1.0,4.166666666666666,2,2
briefcase-o8__9,772.1121311187744,1.0,7.6923076923076925,2,2
